private line number,public line number,route Name,number of travelers in 2021,attraction_by_bus,distance(m),jan avg day,jan avg night,february avg day,february avg night,march avg day,march avg night,april avg day,april avg night,may avg day,may avg night,june avg day,june avg night,july avg day,july avg night,august avg day,august avg night,september avg day,september avg night,october avg day,october avg night,november avg day,november avg night,decmber avg day,decmber avg night
127,127,GLORIETA DE CUATRO CAMINOS - CIUDAD DE LOS PERIODISTAS,1302557,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
128,128,GLORIETA DE CUATRO CAMINOS - BARRIO DEL PILAR,2466576,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
129,129,PLAZA DE CASTILLA - MANOTERAS,442030,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
130,130,VILLAVERDE ALTO - VICALVARO,1861978,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
131,131,CAMPAMENTO - VILLAVERDE ALTO,1574791,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
132,132,MONCLOA - HOSPITAL LA PAZ,2696985,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
133,133,PLAZA DEL CALLAO - MIRASIERRA,2458007,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
134,134,PLAZA DE CASTILLA|VAGUADA - MONTECARMELO,1347729,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
135,135,PLAZA DE CASTILLA - HOSPITAL RAMON Y CAJAL,488344,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
136,136,PACIFICO - MADRID SUR,1583099,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
137,137,CIUDAD PUERTA DE HIERRO - FUENCARRAL,1335338,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
138,138,PLAZA DE CRISTO REY - COLONIA SAN IGNACIO DE LOYOLA,3748312,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
139,139,DEHESA DEL PRINCIPE - CARABANCHEL ALTO,855725,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
140,140,PAVONES - CANILLEJAS,1802426,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
141,141,ESTACION DE ATOCHA - BUENOS AIRES,1533965,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
142,142,PAVONES - ENSANCHE DE VALLECAS,1758864,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
143,143,PLAZA DE MANUEL BECERRA - VILLA DE VALLECAS,2528194,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
144,144,PAVONES - ENTREVIAS,1772260,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
145,145,PLAZA DEL CONDE DE CASAL - ENSANCHE DE VALLECAS,1523330,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
146,146,PLAZA DEL CALLAO - LOS MOLINOS,2394069,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
147,147,PLAZA DEL CALLAO - BARRIO DEL PILAR,3172307,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
148,148,PLAZA DEL CALLAO - PUENTE DE VALLECAS,1993598,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
149,149,TRIBUNAL - PLAZA DE CASTILLA,1039456,Museo del Romanticismo,120,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
150,150,PUERTA DEL SOL/SEVILLA - COLONIA VIRGEN DEL CORTIJO,1759910,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
151,151,CANILLEJAS - BARAJAS,594555,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
152,152,AVENIDA DE FELIPE II - MENDEZ ALVARO,1126306,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
153,153,LAS ROSAS - MAR DE CRISTAL,1107172,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
155,155,PLAZA ELIPTICA - ALUCHE,1718926,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
156,156,PLAZA DE MANUEL BECERRA - PLAZA DE LEGAZPI,1164221,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
159,159,ALSACIA - EL CAÑAVERAL,354875,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
160,160,MONCLOA - ARAVACA,673352,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
161,161,MONCLOA - ARAVACA SUR,1118213,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
162,162,MONCLOA - EL BARRIAL,881144,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
163,163,ESTACION DE ARAVACA - EL PLANTIO,45042,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
165,165,ALSACIA - HOSPITAL RAMON Y CAJAL,527284,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
166,166,BARAJAS - HOSPITAL RAMON Y CAJAL,183832,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
167,167,ALSACIA - COLONIA FIN DE SEMANA,430373,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
170,170,ARROYO DEL FRESNO - SANCHINARRO,0,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
171,171,MAR DE CRISTAL - VALDEBEBAS,663449,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
172,172,MAR DE CRISTAL - TELEFONICA,530018,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
173,173,PLAZA DE CASTILLA - SANCHINARRO,946952,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
174,174,PLAZA DE CASTILLA - VALDEBEBAS,1244586,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
175,175,PLAZA DE CASTILLA - LAS TABLAS NORTE,548288,,,6,5,7,7,10,10,12,13,17,17,23,23,27,27,26,26,20,21,16,16,10,9,6,5
